risail_35344	الأساليب الدعوية في تقرير الإيمان بالقضاء والقدر من خلال السُّنَّة		الإجراءات القضائية	رسالة علمية	قناة الرسائل العلمية
risail_51418	القضاء والقدر من خلال القران والسنة النبوية		القضاء الشرعي	رسالة علمية	قناة الرسائل العلمية
buhooth_f1e6099b	الإيمان بالقضاء والقدر في حياة الطفل المسلم	د. خالد بن عبد المحسن التويجري	القضاء	بحث	موقع بحوث - مجلة البحوث الإسلامية (السعودية)
buhooth_79d615e1	مفهوم القضاء والقدر عند (ديكارت): عرضٌ ونقدٌ	د. عبد القادر بن محمد الغامدي	القضاء	بحث	موقع بحوث - مجلة الجامعة الإسلامية للعلوم الشرعية (السعودية)
buhooth_12098889	مقاصد الإيمان بالقضاء والقدر: دراسةٌ استنباطيةٌ تحليليةٌ	د. وليد بن سعيد محمد	القضاء	بحث	موقع بحوث - مجلة الدراسات العقدية (السعودية)
buhooth_f360bfa6	الانتحار: أسبابه، ودور الإيمان بالقضاء والقدر في الوقاية منه: دراسةٌ عقديةٌ	د. ابتسام بنت ناجح آل محفوظ	القضاء	بحث	موقع بحوث - مجلة العلوم الشرعية - جامعة الإمام (السعودية)
buhooth_babe68e2	الروايات المتعلقة بأسباب النزول في كتاب: (القضاء والقدر)، للإمام البيهقي: جمعاً ودراسةً	أ. د. أحمد بن عبد الله الحصيني	القضاء	بحث	موقع بحوث - مجلة جامعة الملك خالد للعلوم الشرعية والدراسات الإسلامية (السعودية)
buhooth_d956ed0d	أثر الإيمان بالقضاء والقدر في تعزيز الصحة النفسية	د. أروى بنت محمد العقلا	القضاء	بحث	موقع بحوث - مجلة جامعة تبوك للعلوم الإنسانية والاجتماعية (السعودية)
